id,shapeID,shapeGroup,shapeName,intersection_ratio,even_split_ratio,intersection_ratio_commitment_value,even_split_ratio_commitment_value,centroid_longitude,centroid_latitude
69333,62585838B98598405728349,CUB,Havana,0.1,1.0,3396377.85,33533040.37,-82.30688245859213,23.068261951714774
54994,27058087B97113143242340,URY,Montevideo,0.53,1.0,2319233.81,4397303.15,-56.21218043159586,-34.81808245831174
41465,42786344B73501178505024,VEN,Anzoátegui,1.0,1.0,441062291.9,441062291.9,-64.4255121354342,8.940060294577528
39896,11528761B58908339710294,JAM,Saint Andrew,0.28,1.0,1127990.92,3995243.2,-76.76466447799446,18.05026168335921
70720,11528761B58908339710294,JAM,Saint Andrew,1.0,1.0,259918.59,259918.59,-76.76466447799446,18.05026168335921
70723,11528761B58908339710294,JAM,Saint Andrew,1.0,1.0,291770.18,291770.18,-76.76466447799446,18.05026168335921
72019,11528761B58908339710294,JAM,Saint Andrew,1.0,1.0,2785.08,2785.08,-76.76466447799446,18.05026168335921
73745,780006B56468316684184,ECU,Guayas,0.44,1.0,,,-79.8711365570308,-2.09281865115179
85606,780006B56468316684184,ECU,Guayas,0.06,1.0,,,-79.8711365570308,-2.09281865115179
54912,74100532B98191338083310,ATG,Saint John,0.58,1.0,61864687.59,106617841.0,-61.835085744092815,17.113130796573415
60012,22272344B90104046252093,TTO,Port of Spain,0.96,1.0,5499612.08,5707490.28,-61.514286310073686,10.661331746338057
39740,57655419B79428110843392,BHS,North Abaco,1.0,1.0,47868495.62,47868495.62,-77.49753976219257,26.800401605144
69143,11528761B95441286388390,JAM,Kingston,1.0,1.0,44944413.6,44944413.6,-76.77151276678383,17.973063162496434
39831,96108325B18979939092740,DMA,Saint John,0.14,0.2,7544150.34,11126000.36,-61.43955171314757,15.571144479782692
39831,96108325B98972581904621,DMA,Saint George,0.03,0.2,1584078.6,11126000.36,-61.34429326932519,15.30765295773162
39831,96108325B74916276227315,DMA,Saint Joseph,0.26,0.2,14287589.28,11126000.36,-61.38377516120092,15.446003299992205
39831,96108325B20095781885743,DMA,Saint Paul,0.2,0.2,11042650.91,11126000.36,-61.36493371278345,15.367423692247938
39831,96108325B93131520053722,DMA,Saint Peter,0.27,0.2,15041635.82,11126000.36,-61.44450098881536,15.505339992962766
43110,62585838B40246336572844,CUB,Santiago de Cuba,0.68,1.0,90585480.63,132851427.8,-75.96560578611889,20.18973653319446
54965,93511190B55681603978518,GRD,Saint Mark,0.95,1.0,5492399.55,5752986.42,-61.69193363691053,12.18570270368447
85813,93511190B55681603978518,GRD,Saint Mark,1.0,1.0,,,-61.69193363691053,12.18570270368447
88899,14911670B86532577506919,BRA,Sergipe,0.98,1.0,53674170.66,54492487.39,-37.40707196627264,-10.5629321667742
89653,98794003B3671241590115,SLV,La Libertad,1.0,1.0,1685346.92,1685346.92,-89.36854434129918,13.706388214143471
85355,58226515B75771156097737,MEX,Colima,0.96,1.0,26917912.68,28056889.24,-104.0813116425102,19.132494767344543
